text,cedis_code,cedis_complaint,domain,source,rule_applied
rectal bleeding,260,Blood in stool/melena,Gastrointestinal,silver,
"hip pain, 2nd fall",555,Lower extremity pain,Orthopedic,silver,
Hip fx,557,Lower extremity injury,Orthopedic,silver,
FIB,999,Unknown,General and Minor,silver,
SBO,866,Minor complaints NOS,General and Minor,silver,
vomiting blood,259,Vomiting blood,Gastrointestinal,silver,
ADB PAIN,251,Abdominal pain,Gastrointestinal,silver,
Arm fracture,556,Upper extremity injury,Orthopedic,silver,
femur fracture,557,Lower extremity injury,Orthopedic,silver,
MVA,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
Right lower leg fracture,557,Lower extremity injury,Orthopedic,silver,
"Trauma, head injury",407,Head injury,Neurologic,silver,
Tibial Fracture,557,Lower extremity injury,Orthopedic,silver,
intraparenchymal hematoma/ATV trauma,802,Major trauma—blunt,Trauma,silver,
eclapmsia,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
S2 epilepsy,405,Seizure,Neurologic,silver,
ATV accident,802,Major trauma—blunt,Trauma,silver,
LAC w/ possible,704,Laceration/puncture,Skin,silver,
"Acetaminophen overdose, SI",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
recurrent syncope,8,Syncope/pre-syncope,Cardiovascular,silver,
<LOCATION>,999,Unknown,General and Minor,silver,
Acute ABD Pain,251,Abdominal pain,Gastrointestinal,silver,
R hip pain,555,Lower extremity pain,Orthopedic,silver,
open left arm,556,Upper extremity injury,Orthopedic,silver,
septic shock,999,Unknown,General and Minor,silver,
Suicidality,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Foreign body in airway,656,Respiratory foreign body,Respiratory,silver,
pregnant + bleeding,455,Vaginal bleed,OB/GYN,silver,
Suspected Spinal Cord Injury,552,Traumatic back/spine injury,Orthopedic,silver,
"Seizures, status ?stroke",409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Status epilepticus,405,Seizure,Neurologic,silver,
"syncope, bradycardia",8,Syncope/pre-syncope,Cardiovascular,silver,
1st trimester bleeding,455,Vaginal bleed,OB/GYN,silver,
hyponatremia,863,Abnormal lab values,General and Minor,silver,
RLQ pain pregnancy,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
snowmachine trauma,802,Major trauma—blunt,Trauma,silver,
MC,999,Unknown,General and Minor,silver,
Elbow fracture,556,Upper extremity injury,Orthopedic,silver,
Unstable Angina,3,Chest pain—cardiac features,Cardiovascular,silver,
trauma /liver,806,Isolated abdominal trauma—blunt,Trauma,silver,
Hypotensive,866,Minor complaints NOS,General and Minor,silver,
pre-term labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Pain,866,Minor complaints NOS,General and Minor,silver,
Leg FX,557,Lower extremity injury,Orthopedic,silver,
OB,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
vaginal bleeding in pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"Acute abdomen, fever, peritonitis? Appendicitis?",251,Abdominal pain,Gastrointestinal,silver,
Left Femur Fracture,557,Lower extremity injury,Orthopedic,silver,
NON STEMI,3,Chest pain—cardiac features,Cardiovascular,rule,STEMI_NSTEMI
L knee,555,Lower extremity pain,Orthopedic,silver,
suicide attempt by hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
?stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Painful vision loss,504,Visual disturbance,Ophthalmology,silver,
elevated intraocular pressure,504,Visual disturbance,Ophthalmology,silver,
ran over by atv,802,Major trauma—blunt,Trauma,silver,
fall w/ hip pain,555,Lower extremity pain,Orthopedic,silver,
Left ankle injury,556,Upper extremity injury,Orthopedic,silver,
abscess cellulitis,709,Localized swelling/redness,Skin,silver,
abdominal pain in pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"Pregnant, <PERSON>",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Cp,3,Chest pain—cardiac features,Cardiovascular,silver,
"SOB, SVT",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
motorcycle crash,802,Major trauma—blunt,Trauma,silver,
Eye trauma,510,Eye trauma,Ophthalmology,silver,
MVC / thigh,802,Major trauma—blunt,Trauma,silver,
Acute appendicitis,251,Abdominal pain,Gastrointestinal,silver,
Cellulitis,709,Localized swelling/redness,Skin,silver,
<PERSON> with fever,852,Fever,General and Minor,silver,
resp failure,652,Respiratory arrest,Respiratory,rule,RESPIRATORY_ARREST
AECOPD,651,Shortness of breath,Respiratory,silver,
Drug / Seizure,405,Seizure,Neurologic,silver,
Acute dyspnea,651,Shortness of breath,Respiratory,silver,
"overdose, hypoxia",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
ETOH withdrawal,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
chest pain,4,Chest pain—non-cardiac features,Cardiovascular,silver,
ATV Accident leg amputation,553,Amputation,Orthopedic,silver,
"ABD, fever",251,Abdominal pain,Gastrointestinal,silver,
sever ABD pain,251,Abdominal pain,Gastrointestinal,silver,
Contactions,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
"<LOCATION>, COVID, <PERSON>",653,Cough/congestion,Respiratory,rule,COVID
Trauma from fall,407,Head injury,Neurologic,silver,
L side weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"fall, seizure",405,Seizure,Neurologic,silver,
Left sided seizure,405,Seizure,Neurologic,silver,
weakness,7,General weakness,Cardiovascular,silver,
"assault, head injury",407,Head injury,Neurologic,silver,
"nausea, vomiting, poisioning?",257,Nausea and/or vomiting,Gastrointestinal,silver,
stab wounds,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
"AMS, seizure",405,Seizure,Neurologic,silver,
cholecystitis,251,Abdominal pain,Gastrointestinal,silver,
premature,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
<NRP> like Activity,999,Unknown,General and Minor,silver,
L thigh hemotoma,557,Lower extremity injury,Orthopedic,silver,
urinary ret,306,Urinary retention,Genitourinary,silver,
ENT Bleed,151,Epistaxis,ENT - Nose,silver,
Abdominal/head trauma,806,Isolated abdominal trauma—blunt,Trauma,silver,
Upper GI Bleed,260,Blood in stool/melena,Gastrointestinal,silver,
Upper GI bleed,260,Blood in stool/melena,Gastrointestinal,silver,
Chest pain,4,Chest pain—non-cardiac features,Cardiovascular,silver,
Hypoxia,651,Shortness of breath,Respiratory,silver,
CP,4,Chest pain—non-cardiac features,Cardiovascular,silver,
shortnss of breath,651,Shortness of breath,Respiratory,silver,
L hip[ fx,557,Lower extremity injury,Orthopedic,silver,
afib + RVR,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
seizure disorder,405,Seizure,Neurologic,silver,
poverdose tylenol,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
open fx L,557,Lower extremity injury,Orthopedic,silver,
SI with plan,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Left Buttocks Abscess,709,Localized swelling/redness,Skin,silver,
hand infection,709,Localized swelling/redness,Skin,silver,
"Obtunded, c/f overdose",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"Snowmobile trauma, mandibular fracture",999,Unknown,General and Minor,silver,
ingestion,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
thiracic spinal fxs,551,Back pain,Orthopedic,silver,
unstable spinal fructure,551,Back pain,Orthopedic,silver,
Neck / Head pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
RLQ pain/R/o ectopic,251,Abdominal pain,Gastrointestinal,silver,
ruptured ectopic,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Fx orbital floor,510,Eye trauma,Ophthalmology,silver,
PE,651,Shortness of breath,Respiratory,silver,
upper GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
hematemesis,259,Vomiting blood,Gastrointestinal,silver,
"suicide attempt, intoxication",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
"septic shock, ams",401,Altered level of consciousness,Neurologic,silver,
"hypoxia, confusion, ataxia",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
R Shoulder disclocation,556,Upper extremity injury,Orthopedic,silver,
intractable back pain,551,Back pain,Orthopedic,silver,
fish bone stuck in throat,106,Difficulty swallowing/dysphagia,ENT - Mouth/Throat/Neck,silver,
eye injury,510,Eye trauma,Ophthalmology,silver,
Gunshot wound L hand,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
sepsis,401,Altered level of consciousness,Neurologic,silver,
Seizures,405,Seizure,Neurologic,silver,
Incomplete abortion w/ hemorrage,455,Vaginal bleed,OB/GYN,silver,
"AMS, hip pain c/f fracture",401,Altered level of consciousness,Neurologic,silver,
<PERSON> stab wound,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
ATV Accident,802,Major trauma—blunt,Trauma,silver,
Toxic Alcohol Ingestion,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Severe range BP @ 29 <DATE_TIME> EOA,6,Hypertension,Cardiovascular,silver,
ABD pain,251,Abdominal pain,Gastrointestinal,silver,
Fx femoral neck,557,Lower extremity injury,Orthopedic,silver,
tesricular,305,Scrotal pain and/or swelling,Genitourinary,silver,
MVC Fx,802,Major trauma—blunt,Trauma,silver,
"<PERSON>, hip pain from trauma",557,Lower extremity injury,Orthopedic,silver,
thermal injuries,705,Burn,Skin,silver,
"Fever, joint pain",852,Fever,General and Minor,silver,
L anckle fx,557,Lower extremity injury,Orthopedic,silver,
<PERSON> upper GI bleed w/severe anemia,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
GSW to head,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
"epilepticus, intubated",405,Seizure,Neurologic,silver,
intra abd bleeding post MVC,802,Major trauma—blunt,Trauma,silver,
tension ptx,651,Shortness of breath,Respiratory,silver,
"fall, R hip pain, cannot sit for commercial flight, cannot bear weight",555,Lower extremity pain,Orthopedic,silver,
L hip pain,555,Lower extremity pain,Orthopedic,silver,
fx tib fib L,557,Lower extremity injury,Orthopedic,silver,
Left Leg Pain,555,Lower extremity pain,Orthopedic,silver,
"Pregnancy <DATE_TIME> HTN, N-V",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Possible compartment syndrome,709,Localized swelling/redness,Skin,silver,
avulsion of nose,155,Nasal trauma,ENT - Nose,silver,
upper abd pain,251,Abdominal pain,Gastrointestinal,silver,
Small bowel obstruction,251,Abdominal pain,Gastrointestinal,silver,
AS OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
overdese,752,Overdose ingestion,Substance Misuse,silver,
R/o stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
UGIB,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
Intentional Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
RU infection,154,URTI complaints,ENT - Nose,silver,
unresponsive,401,Altered level of consciousness,Neurologic,silver,
"Abdominal pain, pyelonephritis, sepsis",251,Abdominal pain,Gastrointestinal,silver,
Esophageal foreign body,265,Oral/esophageal foreign body,Gastrointestinal,silver,
"Head injury, confusion",407,Head injury,Neurologic,silver,
dehydration,257,Nausea and/or vomiting,Gastrointestinal,silver,
CVA,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
scrotal,305,Scrotal pain and/or swelling,Genitourinary,silver,
facials swelling,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
PTA,107,Facial pain (non-traumatic/non-dental),ENT - Mouth/Throat/Neck,silver,
SROM,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
PNA/<PERSON>,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
foot infection,709,Localized swelling/redness,Skin,silver,
acute hemorrhage,151,Epistaxis,ENT - Nose,silver,
ASA overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Radial fracture with neuro compromise,556,Upper extremity injury,Orthopedic,silver,
SBO,251,Abdominal pain,Gastrointestinal,silver,
NSTEMI/SBO,3,Chest pain—cardiac features,Cardiovascular,rule,STEMI_NSTEMI
Possible septic R knee,558,Joint(s) swelling,Orthopedic,silver,
closed head injury,407,Head injury,Neurologic,silver,
altered mental status/Rt sided weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
GSW Abdomen,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
testicular torsion,305,Scrotal pain and/or swelling,Genitourinary,silver,
cellulitis,709,Localized swelling/redness,Skin,silver,
oxygen,651,Shortness of breath,Respiratory,silver,
Res. <PERSON>,999,Unknown,General and Minor,silver,
tachypnea,654,Hyperventilation,Respiratory,silver,
"RSV, hypoxia",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Respiratory distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Possible aspiration,656,Respiratory foreign body,Respiratory,silver,
Left arm fracture,557,Lower extremity injury,Orthopedic,silver,
Cp new onset RBBB,3,Chest pain—cardiac features,Cardiovascular,silver,
neck pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
"AMS, labile BP",401,Altered level of consciousness,Neurologic,silver,
Fever/Dehydration,852,Fever,General and Minor,silver,
burns,705,Burn,Skin,silver,
Chest Pain,3,Chest pain—cardiac features,Cardiovascular,silver,
pROM,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
preterm rupture,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
"Appendicitis (unruptured), ovarian cyst",251,Abdominal pain,Gastrointestinal,silver,
Arm Fracture,556,Upper extremity injury,Orthopedic,silver,
L Shoulder deformity,556,Upper extremity injury,Orthopedic,silver,
R hip hematoma,716,Spontaneous bruising,Skin,silver,
HA vertigo severe sudden,403,Vertigo,Neurologic,silver,
"Head Injury, GCS",407,Head injury,Neurologic,silver,
appendicitis,251,Abdominal pain,Gastrointestinal,silver,
femur fc,557,Lower extremity injury,Orthopedic,silver,
Respiratory Distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
encephalopathy,402,Confusion,Neurologic,silver,
DKA,853,Hyperglycemia,General and Minor,silver,
renal failure,306,Urinary retention,Genitourinary,silver,
"CHF exacerbation, renal failure, COVID",653,Cough/congestion,Respiratory,rule,COVID
Acute stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
L knee infection,709,Localized swelling/redness,Skin,silver,
perforated bowel,251,Abdominal pain,Gastrointestinal,silver,
"AMS, renal failure",402,Confusion,Neurologic,silver,
"Gangrene, feet",709,Localized swelling/redness,Skin,rule,GANGRENE
Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"MUA, Head Injury",407,Head injury,Neurologic,silver,
Metabolic Acidors,863,Abnormal lab values,General and Minor,silver,
symptomatic anemia,864,Pallor/anemia,General and Minor,silver,
"Renal insufficiency, Metabolic acidosis, severe anemia",863,Abnormal lab values,General and Minor,silver,
bladder obstruction,306,Urinary retention,Genitourinary,silver,
<PERSON> problem,359,Concern for patient's welfare,Mental Health,silver,
Gross hematuria w/ substantial drop in <NRP>,302,Hematuria,Genitourinary,silver,
R peritonsillar abscess,103,Sore throat,ENT - Mouth/Throat/Neck,silver,
Possible Broken Jaw,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
complex facial laceration,704,Laceration/puncture,Skin,silver,
ACS,3,Chest pain—cardiac features,Cardiovascular,rule,ACS
Sever ABD Pain,251,Abdominal pain,Gastrointestinal,silver,
overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
GSW arm,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
2nd degree burn to LLE,705,Burn,Skin,silver,
Weakness,7,General weakness,Cardiovascular,silver,
SOB/NSVT,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"<PERSON>, hyperK",863,Abnormal lab values,General and Minor,silver,
fracture,999,Unknown,General and Minor,silver,
Choladocholithiasis,251,Abdominal pain,Gastrointestinal,silver,
26yo G1P0 at <DATE_TIME> <DATE_TIME> weeks with prolonger PROM,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
<PERSON> pain,999,Unknown,General and Minor,silver,
Abdominal Pain/ Pregnancy,251,Abdominal pain,Gastrointestinal,silver,
"G3P3 @ 38w2d, labor",458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
open <DATE_TIME> finger,704,Laceration/puncture,Skin,silver,
"new onset CHH, Afib with RVR",5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
SI Pain,551,Back pain,Orthopedic,silver,
SI,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
GSW L Chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
peritonsillar abcess,103,Sore throat,ENT - Mouth/Throat/Neck,silver,
R eye Injury,510,Eye trauma,Ophthalmology,silver,
facial trauma,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
crush injury LLE <DATE_TIME>,557,Lower extremity injury,Orthopedic,silver,
<PERSON> pain,551,Back pain,Orthopedic,silver,
preeclampsia,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"Pre-term Contraction, bleeding",458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Gastroenteritis,254,Diarrhea,Gastrointestinal,silver,
prolonged rupture of labor at term,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Suicide attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
PTA,103,Sore throat,ENT - Mouth/Throat/Neck,silver,
gangrene,709,Localized swelling/redness,Skin,rule,GANGRENE
New onset Afib,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
Seizure,405,Seizure,Neurologic,silver,
pneumatosis,999,Unknown,General and Minor,silver,
U,999,Unknown,General and Minor,silver,
Suicidal Ideation,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
S2 with head trauma,407,Head injury,Neurologic,silver,
GSW abdomen,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
psychosis,353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
Alcoholic Ketoacidosis,999,Unknown,General and Minor,silver,
pre-eclampsia,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
ETOH / back pain,551,Back pain,Orthopedic,silver,
Abdominal pain,251,Abdominal pain,Gastrointestinal,silver,
active seizures,405,Seizure,Neurologic,silver,
status epilepticus,405,Seizure,Neurologic,silver,
Intentional OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
septic knee,558,Joint(s) swelling,Orthopedic,silver,
r/o CVA,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Depression SI,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
suicidal ideation,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Preterm ROM,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Cholestasis of Pregnancy,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"pregnant , bleeding",455,Vaginal bleed,OB/GYN,silver,
acute pre term labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
covid pneumonia,653,Cough/congestion,Respiratory,rule,COVID
Resp distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Peritonsilar abcess,103,Sore throat,ENT - Mouth/Throat/Neck,silver,
<PERSON> delivery,869,Newly Born,General and Minor,silver,
Preterm Labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
contractions/ <DATE_TIME> pregnanct,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
<DATE_TIME> w/ PPROM,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
hemoptysis,655,Hemoptysis,Respiratory,silver,
cancer,999,Unknown,General and Minor,silver,
