text,cedis_code,cedis_complaint,domain,source,rule_applied
"Preg, pain bleeding",455,Vaginal bleed,OB/GYN,silver,
Pregnant patient,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Hip Fx,557,Lower extremity injury,Orthopedic,silver,
spontaneous abortion,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
extremity weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
ischemic stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Preterm delivery at <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Tachycardia/cocaine overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Vaginal Bleeding,455,Vaginal bleed,OB/GYN,silver,
traumatic unstable fracture,802,Major trauma—blunt,Trauma,silver,
R Hip fracture,557,Lower extremity injury,Orthopedic,silver,
"SOB,",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
COVID/Pneumonia Hypoxia,653,Cough/congestion,Respiratory,rule,COVID
"chest pain, SOB",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Vomiting,257,Nausea and/or vomiting,Gastrointestinal,silver,
low leg lacerations,704,Laceration/puncture,Skin,silver,
acute chlecystitis,251,Abdominal pain,Gastrointestinal,silver,
Poss (R) hip fracture,557,Lower extremity injury,Orthopedic,silver,
Acute resp distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
polytrauma,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
acute liver failure,999,Unknown,General and Minor,silver,
peripheral edema,10,Bilateral leg swelling/edema,Cardiovascular,silver,
dizziness,403,Vertigo,Neurologic,silver,
Acute Psychosis,353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
Asthma,659,Wheezing—no other complaints,Respiratory,silver,
"delerium, cellulitis, left leg",12,Unilateral reddened hot limb,Cardiovascular,silver,
Cirrhosis with AKI,999,Unknown,General and Minor,silver,
epistaxix,151,Epistaxis,ENT - Nose,silver,
"Fall strike head, seizure",405,Seizure,Neurologic,silver,
Pneumothorax,999,Unknown,General and Minor,silver,
Cough,653,Cough/congestion,Respiratory,silver,
MVH/L Femur,802,Major trauma—blunt,Trauma,silver,
attempted suicide,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
PROM 36 wk IUP,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
COVID POS SOB,653,Cough/congestion,Respiratory,rule,COVID
COVID resp distress,653,Cough/congestion,Respiratory,rule,COVID
open fracture,802,Major trauma—blunt,Trauma,silver,
Epidural/Subdural/Skull Fx,407,Head injury,Neurologic,silver,
A. Flutter,5,Palpitations/irregular heart beat,Cardiovascular,silver,
imaging,859,Imaging tests,General and Minor,silver,
SRM @31 <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"Trauma, hand injury",556,Upper extremity injury,Orthopedic,silver,
OU infection,506,"Red eye, discharge",Ophthalmology,silver,
"COVID, SOB",653,Cough/congestion,Respiratory,rule,COVID
Suicidal attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
RLQ Pain x <DATE_TIME>,251,Abdominal pain,Gastrointestinal,silver,
pelvic abscess,251,Abdominal pain,Gastrointestinal,silver,
Right Arm Injury,556,Upper extremity injury,Orthopedic,silver,
OD metformin,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Shoulder injury,556,Upper extremity injury,Orthopedic,silver,
"ABD Pain, N/V",251,Abdominal pain,Gastrointestinal,silver,
Active Labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
L side wekaness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"ATV accident, Left hip deformity",802,Major trauma—blunt,Trauma,silver,
dislocation,866,Minor complaints NOS,General and Minor,silver,
MVA: <LOCATION> and Neck Pain,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
c/f nec fasciitis,866,Minor complaints NOS,General and Minor,silver,
Trauma accident,802,Major trauma—blunt,Trauma,silver,
hemorshape,999,Unknown,General and Minor,silver,
Gangrene,709,Localized swelling/redness,Skin,rule,GANGRENE
"RLQ pain, fever, vomiting",251,Abdominal pain,Gastrointestinal,silver,
Seizures/ETOH Withdrawal,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
"SI, alcohol intoxication",751,Substance misuse/intoxication,Substance Misuse,silver,
epistaxis,151,Epistaxis,ENT - Nose,silver,
"RUQ pain, cholecystitis?",251,Abdominal pain,Gastrointestinal,silver,
s/p heart transplant,865,Post-operative complications,General and Minor,rule,POST_OP
Uppper GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
UTI with bacteria,307,UTI complaints,Genitourinary,silver,
Multi lobar pna,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
AE of COPD,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
L ankle fracture,557,Lower extremity injury,Orthopedic,silver,
R Humerus Fracture,556,Upper extremity injury,Orthopedic,silver,
Severe acute exacerbation of,866,Minor complaints NOS,General and Minor,silver,
"MVX, HI, Suicidal, ETOH",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
R sided weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"hip pain, 2nd fall",555,Lower extremity pain,Orthopedic,silver,
Hip fx,557,Lower extremity injury,Orthopedic,silver,
FIB,999,Unknown,General and Minor,silver,
Neck abscess,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
finger infection,711,Other skin conditions,Skin,silver,
G7P4 at <DATE_TIME> ?PPROM,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
self inflected laceratio depression,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
R anckle fx,557,Lower extremity injury,Orthopedic,silver,
"Suicidal gesture, medicatio insertion",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
intentional overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"RLQ pain, fever, vomitting",251,Abdominal pain,Gastrointestinal,silver,
lemathosis,999,Unknown,General and Minor,silver,
ETOH inentional overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
MVA multiple,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
suicidal intoxication,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
altered mental status/post concussive syndrome,401,Altered level of consciousness,Neurologic,silver,
altered mental status/snow machine accident,802,Major trauma—blunt,Trauma,silver,
OD seizures,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
R side weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
TIA/ Stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
"OD, suicidal",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
ABD pregnancy,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Vaginal bleeding 2nd trimester,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Pregnant with bleeding,455,Vaginal bleed,OB/GYN,silver,
CP / A FIB,5,Palpitations/irregular heart beat,Cardiovascular,silver,
HI + SI,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
neck inj,552,Traumatic back/spine injury,Orthopedic,silver,
UTI Pyeloniphritis,307,UTI complaints,Genitourinary,silver,
Attempted hanging/ Cervical Pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
Altered Consiousness,401,Altered level of consciousness,Neurologic,silver,
early labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
"g3p1 @ 33 <DATE_TIME>, contractions",458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Right LQ pain,251,Abdominal pain,Gastrointestinal,silver,
Preg. LLQ Pain,251,Abdominal pain,Gastrointestinal,silver,
ABD pain/pregnancy,251,Abdominal pain,Gastrointestinal,silver,
Fever Post Delivery,865,Post-operative complications,General and Minor,silver,
high grade small bowel obstruction with cirrhosis of liver,251,Abdominal pain,Gastrointestinal,silver,
hematuria,302,Hematuria,Genitourinary,silver,
Perforated bowel,251,Abdominal pain,Gastrointestinal,silver,
stab wound,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
GSW to chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
Right Knee Swelling pain,558,Joint(s) swelling,Orthopedic,silver,
MVC w/ concern for head injury requiring CT scans,407,Head injury,Neurologic,silver,
heart failure,7,General weakness,Cardiovascular,silver,
Femur Fracture,557,Lower extremity injury,Orthopedic,silver,
hip injury,557,Lower extremity injury,Orthopedic,silver,
R testicular pain,305,Scrotal pain and/or swelling,Genitourinary,silver,
Acute Appendicitis,251,Abdominal pain,Gastrointestinal,silver,
MUA - RT Hip,557,Lower extremity injury,Orthopedic,silver,
Attempted Hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
suicide,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
"<PERSON>, back pain, lt hip pain",551,Back pain,Orthopedic,silver,
Miscarriage,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Leg Cellulitis,12,Unilateral reddened hot limb,Cardiovascular,silver,
Early Apply/ ABD,251,Abdominal pain,Gastrointestinal,silver,
Head <PERSON>,407,Head injury,Neurologic,silver,
"abdominal pain, pregnancy <DATE_TIME>",251,Abdominal pain,Gastrointestinal,silver,
New on set CVA,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
L hemiplegia,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"ATV accident, Pelvic fracture",802,Major trauma—blunt,Trauma,silver,
"Hematemesis, alcohol withdrawal",753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
stab wound chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
wound abd,804,Isolated chest trauma—blunt,Trauma,silver,
severe knee pain ®,555,Lower extremity pain,Orthopedic,silver,
thermal burns,705,Burn,Skin,silver,
Snowmobile accident c/o right tib/fib fx,802,Major trauma—blunt,Trauma,silver,
Intraabdominal abscess,999,Unknown,General and Minor,silver,
pneumothorax chest tube,865,Post-operative complications,General and Minor,silver,
R Knee,555,Lower extremity pain,Orthopedic,silver,
ac pancreatitis,251,Abdominal pain,Gastrointestinal,silver,
"Pneumonia, Dehydration",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
suicide attemp,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
unstable FX,999,Unknown,General and Minor,silver,
pneumotrax,999,Unknown,General and Minor,silver,
medication overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Head/facial trauma,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
weak,7,General weakness,Cardiovascular,silver,
pregnancy- bleeding,455,Vaginal bleed,OB/GYN,silver,
post partum,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
18yoF <PERSON> at <DATE_TIME> <DATE_TIME> <DATE_TIME> with preterm labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Frebile Seizure,405,Seizure,Neurologic,silver,
Ingestion,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"Head injury, degloving",407,Head injury,Neurologic,silver,
Torsion testicle,305,Scrotal pain and/or swelling,Genitourinary,silver,
left wrist,556,Upper extremity injury,Orthopedic,silver,
head injurt,407,Head injury,Neurologic,silver,
Naproxen Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"SI, intentional overdose",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"suicidal, depressed",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Poss obstructing,251,Abdominal pain,Gastrointestinal,silver,
trauma,802,Major trauma—blunt,Trauma,silver,
Bleeding in pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Apnea,652,Respiratory arrest,Respiratory,silver,
chest wall pain and shortness,651,Shortness of breath,Respiratory,silver,
TBI ; Behavioral disturbances,407,Head injury,Neurologic,silver,
Medication overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
C section wound,865,Post-operative complications,General and Minor,silver,
Metformin OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
facial laceRation,704,Laceration/puncture,Skin,silver,
Altered mental status,401,Altered level of consciousness,Neurologic,silver,
MVA/Left Hip dislocation,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
Stroke s/p + pa,865,Post-operative complications,General and Minor,rule,POST_OP
"Chest pain, facial droop",409,Extremity weakness/symptoms of CVA,Neurologic,silver,
R facial droop -stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
tylenol OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
OD tylenol,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
L calf injury,557,Lower extremity injury,Orthopedic,silver,
"Alcohol intoxication, stab wound",801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
"MVA, open fx",802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
"L eye blindness, snowmobile trauma",510,Eye trauma,Ophthalmology,silver,
SDH/SAH,407,Head injury,Neurologic,silver,
rupture aortic,1,Cardiac arrest (non-traumatic),Cardiovascular,silver,
Presumed GI bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
SOB/Cough,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
displaced rib,804,Isolated chest trauma—blunt,Trauma,silver,
Tubo-ovarian abscess,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
twin gestation,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
27 <DATE_TIME> pregnant patient with contractions,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
ATV/high Speed,802,Major trauma—blunt,Trauma,silver,
SEPSIS,999,Unknown,General and Minor,silver,
"Seizure, AMS, febrile",405,Seizure,Neurologic,silver,
L ankle injury,557,Lower extremity injury,Orthopedic,silver,
"Chest pain, NSTEMI",3,Chest pain—cardiac features,Cardiovascular,rule,STEMI_NSTEMI
Heart block,999,Unknown,General and Minor,silver,
MVA / Left Hip Pain,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
severe leg wound,704,Laceration/puncture,Skin,silver,
open tibia,802,Major trauma—blunt,Trauma,silver,
Accident,802,Major trauma—blunt,Trauma,silver,
agitation,352,Anxiety/situational crisis,Mental Health,silver,
Od,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Tylenol OD w/ SI,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
R laceration w tendon laceration,704,Laceration/puncture,Skin,silver,
ABD Pain in pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
ABD pain post partum,865,Post-operative complications,General and Minor,silver,
Abdominal Pain & Bleeding in Pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
<PERSON> ideation,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
Suicidal risk w/ plan,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
elbow disclocation,556,Upper extremity injury,Orthopedic,silver,
RLQ pain concern for appendicitis,251,Abdominal pain,Gastrointestinal,silver,
open fx,802,Major trauma—blunt,Trauma,silver,
foreign body,717,"Foreign body, skin",Skin,silver,
pregnancy,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
R Hip Disclocation,555,Lower extremity pain,Orthopedic,silver,
dysorthia,999,Unknown,General and Minor,silver,
fell/hip,557,Lower extremity injury,Orthopedic,silver,
"Syncope, chest pain",3,Chest pain—cardiac features,Cardiovascular,silver,
L Shoulder injury,556,Upper extremity injury,Orthopedic,silver,
acetaminophen overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Intentional OD with SI,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
ABD trauma,806,Isolated abdominal trauma—blunt,Trauma,silver,
Severe abd pain/vomiting,251,Abdominal pain,Gastrointestinal,silver,
attempted hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
Occlusive L DVT,999,Unknown,General and Minor,silver,
femural,999,Unknown,General and Minor,silver,
dissection aorta type B,999,Unknown,General and Minor,silver,
CHF,7,General weakness,Cardiovascular,silver,
lacerations intoxication,704,Laceration/puncture,Skin,silver,
Snowmobile accident (low back trauma),552,Traumatic back/spine injury,Orthopedic,silver,
"Pregnant, bleeding",455,Vaginal bleed,OB/GYN,silver,
MVA Trauma,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
<PERSON> pain + hypotension,999,Unknown,General and Minor,silver,
fall from 7 ft,802,Major trauma—blunt,Trauma,silver,
suicide attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
altered MS,401,Altered level of consciousness,Neurologic,silver,
acute kidney injury,306,Urinary retention,Genitourinary,silver,
ruptured AAA,251,Abdominal pain,Gastrointestinal,silver,
Meningitis,401,Altered level of consciousness,Neurologic,silver,
MVA w back injury,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
Dog bite R face/lips,701,Bite,Skin,silver,
R Hip Fx,557,Lower extremity injury,Orthopedic,silver,
Abdominal pain/unable to void,251,Abdominal pain,Gastrointestinal,silver,
Syncope anemia,8,Syncope/pre-syncope,Cardiovascular,silver,
abortion,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Spontaneous abortion,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
MVA/Polytrauma,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
"Trauma, R Knee",557,Lower extremity injury,Orthopedic,silver,
"RLQ pain, hypotension",251,Abdominal pain,Gastrointestinal,silver,
hernia bs,256,Groin pain/mass,Gastrointestinal,silver,
Pregnant @ <DATE_TIME> with contractions,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
internional OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Tylenol OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
nasal laceration,155,Nasal trauma,ENT - Nose,silver,
R hip fx? s/p ATV,865,Post-operative complications,General and Minor,rule,POST_OP
Belly Pain,251,Abdominal pain,Gastrointestinal,silver,
Left Arm Fracture,556,Upper extremity injury,Orthopedic,silver,
<PERSON> Possible appy,251,Abdominal pain,Gastrointestinal,silver,
Acute Appendicitis /,251,Abdominal pain,Gastrointestinal,silver,
"ATV trauma, CP",802,Major trauma—blunt,Trauma,silver,
acute,999,Unknown,General and Minor,silver,
pain L 4th Toe,555,Lower extremity pain,Orthopedic,silver,
choletithiases,251,Abdominal pain,Gastrointestinal,silver,
laceration neck,704,Laceration/puncture,Skin,silver,
stab to chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
ABD Paind,251,Abdominal pain,Gastrointestinal,silver,
miscarriage process,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
neck,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
Lip laceration,704,Laceration/puncture,Skin,silver,
Acute abdomen,251,Abdominal pain,Gastrointestinal,silver,
Laceration,704,Laceration/puncture,Skin,silver,
Knee Laceration,704,Laceration/puncture,Skin,silver,
L femur,555,Lower extremity pain,Orthopedic,silver,
L periprosthetic abcess,709,Localized swelling/redness,Skin,silver,
"encephalopathy, PNA, hypoxic respiratory failure",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
MRSA,851,Exposure to communicable disease,General and Minor,silver,
FB in esophagus,265,Oral/esophageal foreign body,Gastrointestinal,silver,
Obstipation,253,Constipation,Gastrointestinal,silver,
cervical spine injury,552,Traumatic back/spine injury,Orthopedic,silver,
LE Trauma,557,Lower extremity injury,Orthopedic,silver,
assault,454,Sexual assault,OB/GYN,silver,
found unconscious,401,Altered level of consciousness,Neurologic,silver,
SUT,999,Unknown,General and Minor,silver,
Intracranial Hemmorhage,999,Unknown,General and Minor,silver,
pneumothorax,999,Unknown,General and Minor,silver,
Encephalitis,999,Unknown,General and Minor,silver,
Arm deformity,556,Upper extremity injury,Orthopedic,silver,
intracranial hemorrhage,999,Unknown,General and Minor,silver,
Threatened Miscarriage,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
34wk G8P5@9 nonviable pregnancy COVID+,653,Cough/congestion,Respiratory,rule,COVID
recurrent + SVT,5,Palpitations/irregular heart beat,Cardiovascular,silver,
Closed head injury,407,Head injury,Neurologic,silver,
RLQ abdominal pain,251,Abdominal pain,Gastrointestinal,silver,
<PERSON> forearm,556,Upper extremity injury,Orthopedic,silver,
Severe rash with infection failing OPD care,708,Rash,Skin,silver,
"Fever, Hypoxic",852,Fever,General and Minor,silver,
Pneumonia respiratory distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
abcess,999,Unknown,General and Minor,silver,
Pregnant and Preterm Contractions,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
GSW to face,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
sever pre-eclamps,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
GSW leg,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
testicular pain,305,Scrotal pain and/or swelling,Genitourinary,silver,
"Alcohol withdrawal, Nausea, Vomiting",753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
foot pain,555,Lower extremity pain,Orthopedic,silver,
possible urosepsis,307,UTI complaints,Genitourinary,silver,
sever back pain,551,Back pain,Orthopedic,silver,
acute renal failure,308,Oliguria,Genitourinary,silver,
Internal Hernia,251,Abdominal pain,Gastrointestinal,silver,
"<PERSON> cancer,",999,Unknown,General and Minor,silver,
perl choley tube displacement,860,Medical device problem,General and Minor,silver,
probable urosepsis,307,UTI complaints,Genitourinary,silver,
CHF,9,"Edema, generalized",Cardiovascular,silver,
R ip fracture,557,Lower extremity injury,Orthopedic,silver,
Right Hip fracture,557,Lower extremity injury,Orthopedic,silver,
hematemeses,259,Vomiting blood,Gastrointestinal,silver,
RVR,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
"Head trauma, blood thinners, gait instability",407,Head injury,Neurologic,silver,
Fall w/ head pain on anticoagulants,407,Head injury,Neurologic,silver,
fall,866,Minor complaints NOS,General and Minor,silver,
CP/SOB,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"chest pain, L facial droop",409,Extremity weakness/symptoms of CVA,Neurologic,silver,
Blunt Trauma / ABD,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
"vomiting,",257,Nausea and/or vomiting,Gastrointestinal,silver,
"Chest Pain,/ <LOCATION>",3,Chest pain—cardiac features,Cardiovascular,silver,
Intestinal pneumatosis,999,Unknown,General and Minor,silver,
"Fall, AMS",401,Altered level of consciousness,Neurologic,silver,
paliative,999,Unknown,General and Minor,silver,
COPD exacerbation/pneumonia,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Chest pain/palpitations,5,Palpitations/irregular heart beat,Cardiovascular,silver,
Bradycardia,999,Unknown,General and Minor,silver,
