text,cedis_code,cedis_complaint,domain,source,rule_applied
34yom here for his ezcema,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
"dermatitis, acute or chronic: ezcema",708,Rash,Skin,silver,
Neck and shoulder pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
"Authorized in from <LOCATION> <DATE_TIME>, was seen in the er related to cellulitis of scalp and neck. Here for a follow-up",709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"anxiety, mental health problem: hallucinations",353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
"33 yo M here after drinking gallon homebrew <DATE_TIME> and 2 bottles hand sanitizer, feeling very anxious.",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
Neck get worse,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
Impetigo,711,Other skin conditions,Skin,silver,
Eczema Exacerbation,711,Other skin conditions,Skin,silver,
Blisters form on both hands and breakout,708,Rash,Skin,silver,
presented to the clinic after drinking sanitizer,752,Overdose ingestion,Substance Misuse,silver,
Crashed with snogo,802,Major trauma—blunt,Trauma,silver,
<PERSON> Left Hip Injury,555,Lower extremity pain,Orthopedic,silver,
"Authorized in from <LOCATION> with Guardian. <DATE_TIME> while drinking heavy flipped snowgo, ambulated home, now left hip pain, unable to bear weight. No loc. abrasion/skin tear. fentanyl 100/ zofran 4mg at <DATE_TIME> with relief",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
"nausea and vomiting over <DATE_TIME> now sob, hx of the same. FSBS 185",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"pt reports being discharged from ICU <DATE_TIME> post cardiac arrest, pt c/o chest pain, denies sob. pt calm, cooperative, ambulatory. pt requests pain medications.",1,Cardiac arrest (non-traumatic),Cardiovascular,rule,CARDIAC_ARREST
"f/u inpt d/c CM; having chest soreness from recent CPR; no SOB. no dizziness or palps, no edema in LE- meds reviewed",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
f/u ICD implant by <LOCATION>; no cardiac complaints- sterstrips c/d/i to L) upper chest- meds reviewed,865,Post-operative complications,General and Minor,silver,
"pt reports having prescriptions from <LOCATION> wants them filled here, pt denies medical concerns, pt is tachycardic in triage. pt had defibrillator placed <DATE_TIME>. pt states "" I feel fine"".",861,Prescription/medication request,General and Minor,silver,
other wound,710,Wound check,Skin,silver,
"30 y/o male came to the clinic because of bleeding behind right ear, patient says he had recent surgery and was puking and wound opened and started bleeding, patient stated he also puked blood",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
"""I was drunk <DATE_TIME> and I hit my head on something (pt denied being hurt by someone else). I had surgery on my right ear <DATE_TIME>. I was bleeding a lot and have a headache and back pain."" Patient stated that he did pass out prior to injury",407,Head injury,Neurologic,silver,
"F/U Wound Check, S/P Crani skull fracture",865,Post-operative complications,General and Minor,rule,POST_OP
F/v wound check,710,Wound check,Skin,silver,
"follow up care for heart pains, doing wellf",861,Prescription/medication request,General and Minor,silver,
"<DATE_TIME> male here for heart shocking pain started at <DATE_TIME>, patient was called in to work at the water plant, his honda got stuck in deep snow and he tried to pull it out, patient just got back from had cranial fx. recently returned <DATE_TIME>",3,Chest pain—cardiac features,Cardiovascular,silver,
vtc visit,866,Minor complaints NOS,General and Minor,silver,
<PERSON>. wall lipoma,712,"Lumps, bumps, calluses",Skin,silver,
fall injury,802,Major trauma—blunt,Trauma,silver,
"Fall on steps,left sided pain",802,Major trauma—blunt,Trauma,silver,
"Intoxication, Snow machine accident, possible broken ribs and left foot",751,Substance misuse/intoxication,Substance Misuse,silver,
"56 y/o male had a injury lastnight, he jumped off a snowmachine and landed on his left ankle and left side ribs",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
"Musculoskeletal Pain, Possible closed fracture to left side ankle and left side ribs",802,Major trauma—blunt,Trauma,silver,
cast placement & x rays left <LOCATION>,859,Imaging tests,General and Minor,silver,
"recreational vehicle collision, no loss of conciousness",802,Major trauma—blunt,Trauma,silver,
"Pt staying at patient housing, needing rapid covid testing so he can fly home to <LOCATION>. Pt alert, ambulates steadily w/ walker, wearing mask.",653,Cough/congestion,Respiratory,rule,COVID
"Puncture wound / stab wound, alcohol/drugs involved.",801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
was drinking home brew and blacked out and stabbed friend and got return stabbing....retaliation.,704,Laceration/puncture,Skin,silver,
pt with left chest wound. stab wound,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
follow up stab wound,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
rib stitch removal,857,Removal staples/sutures,General and Minor,silver,
<DATE_TIME> male with sever black eye,510,Eye trauma,Ophthalmology,silver,
Severe eye injury,510,Eye trauma,Ophthalmology,silver,
"medivac'd in for left eye swollen shut and left temporal, ear swelling, c/o left neck pain after an assult this am @ 0500 , denies any loc",802,Major trauma—blunt,Trauma,silver,
right great toe injury,557,Lower extremity injury,Orthopedic,silver,
self hanging this am,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
"<PERSON> is <DATE_TIME> who complains of bilateral diaphram pain and bilateral sternum pain x <DATE_TIME>, also <DATE_TIME> too",3,Chest pain—cardiac features,Cardiovascular,silver,
Possible recent/ past heart attack Right lower lobe pneumonia CHest Injury <DATE_TIME>,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"""patient had an episode of chest pain <DATE_TIME> and has an extensive cardiac history""",3,Chest pain—cardiac features,Cardiovascular,silver,
left AOM,51,Earache,ENT - Ears,silver,
left hear ache and drainage,55,"Discharge, ear",ENT - Ears,silver,
"Alcohol intoxication, leg injury",751,Substance misuse/intoxication,Substance Misuse,silver,
"BIB Gaurdian from <LOCATION> for open tib/fib fx of left leg after falling down stairs. C-spine tenderness, Trauma 2 activation.",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
"f/u L leg wound check, per <PERSON>",710,Wound check,Skin,silver,
Wound Check s/p L IMN/ORIF ankle,865,Post-operative complications,General and Minor,rule,POST_OP
L Ankle wnd ck s/p ORIF.IMN. <DATE_OF_SERVICE>,865,Post-operative complications,General and Minor,rule,POST_OP
"F/U ORIF L Ankle, wnd ck",710,Wound check,Skin,silver,
F/U ORIF L Ankle,710,Wound check,Skin,silver,
"<PERSON> pain for <DATE_TIME>, no BM for <DATE_TIME>, nausea",257,Nausea and/or vomiting,Gastrointestinal,silver,
covid-19 recheck visit by phone,653,Cough/congestion,Respiratory,rule,COVID
"on <DATE_TIME>.<DATE_TIME> at about 11;30 am, <DATE_TIME> male called to the clinic for pain medication, the patient hastested positive covid on <DATE_TIME> and stated he was doing fine but wanted pain medication, no rspitory distress, just body ache, call lasted <PERSON>",653,Cough/congestion,Respiratory,rule,COVID
<PERSON> patient requesting pain medication,861,Prescription/medication request,General and Minor,silver,
pt with sob and abd pain on right lower abd when coughing,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"approximately 15 Tylenol 500 mg tabs taken at <DATE_TIME>, intentionally",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
"Diarrhea <DATE_TIME> which has resolved <DATE_TIME>, bur having right flank pain since <DATE_TIME>. denies N/V",301,Flank pain,Genitourinary,silver,
"BIB GF for cholecystitis, dnies pain at this time, pt ambulated from stretcher to gurny w/o difficulty and w/ steady gait, hx of aortic valve replacement, is taking warfarin. NAD noted",251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
"PT presents for dressing change <DATE_TIME> as instructed. reg. unlabored rate, calm, compliant.",856,Dressing change,General and Minor,silver,
HFrEF,866,Minor complaints NOS,General and Minor,silver,
FV: Perc cole tube,865,Post-operative complications,General and Minor,silver,
f/u for perc cholecystostomy tube,865,Post-operative complications,General and Minor,silver,
f/u AFib; labs done,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
Pt has nephrostomy drain placed <DATE_TIME>. Here for dressing change. Has no complaints with site/pain. f/u with surgery <DATE_TIME>.,856,Dressing change,General and Minor,silver,
"Gallbladder surg <DATE_TIME>. C/o increased abd swelling. <PERSON> is swollen, but soft. Surgical sites CDI. Sitting comfortably, NAD. Denies fevers. <DATE_TIME>.",263,Abdominal mass/distention,Gastrointestinal,silver,
Follow-up ablation,865,Post-operative complications,General and Minor,silver,
"Authorized in from <PERSON> with guardian related to diffuse abdominal pain with nausea thinks its related to eating caibou <DATE_TIME>, states happens all the time. multi meds given in clinic and guardian",251,Abdominal pain,Gastrointestinal,silver,
BIB medevac for reprot of sepsis and surgical consult. Pt is on LEVO upon arival. pt is laibale. NG in place.,999,Unknown,General and Minor,rule,SEPSIS_UNKNOWN
s/p Sigmoidectomy with creation of end colostomy,865,Post-operative complications,General and Minor,rule,POST_OP
wound vac dressing change/ostomy check,856,Dressing change,General and Minor,silver,
"snowmobile accident. back, hip wrist pain.",802,Major trauma—blunt,Trauma,silver,
"Trauma 2, fall from 16 feet off scaffolding, pt denies headstirke, LOC, or thinners. Left ankle injury. AO x 4",557,Lower extremity injury,Orthopedic,silver,
<PERSON> ck L pilon fx DOS: <DATE_TIME> <PERSON>,858,Cast check,General and Minor,silver,
f/u L pilon fx,858,Cast check,General and Minor,silver,
"Authorized in from <LOCATION> with <NRP> related to ON/OFF RLQ pain (sharp) for <DATE_TIME> with nausea, vomiting and fever. zofran IV in clinic and fenantyl 50mcg at 1145",251,Abdominal pain,Gastrointestinal,silver,
f/u er sharp right-sided pain,251,Abdominal pain,Gastrointestinal,silver,
abd pain x <DATE_TIME>. was seen earlier for the same.,251,Abdominal pain,Gastrointestinal,silver,
flu shot,866,Minor complaints NOS,General and Minor,silver,
"etoh, altercation",751,Substance misuse/intoxication,Substance Misuse,silver,
Endometrial Biopsy,866,Minor complaints NOS,General and Minor,silver,
"""possible melanoma on LLQ abd""",711,Other skin conditions,Skin,silver,
Heavy Bleeding,455,Vaginal bleed,OB/GYN,silver,
"pt medivac'd in after attempting to hang herself <DATE_TIME>, small ligature mark on rt side of neck, no deviation noted, clear bs bilaterally, denies any further c/o",351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
other male genital problem,303,Genital discharge/lesion,Genitourinary,silver,
alert looks in pain,866,Minor complaints NOS,General and Minor,silver,
scrotum swelling and pain and urinating blood,305,Scrotal pain and/or swelling,Genitourinary,silver,
Pt Ruptured his penis around 2100 <DATE_TIME> and was life flighted out of <LOCATION>,310,Genital trauma,Genitourinary,silver,
eruptered penis,310,Genital trauma,Genitourinary,silver,
<PERSON> Penis,310,Genital trauma,Genitourinary,silver,
fv RUG in radiology penile injury,310,Genital trauma,Genitourinary,silver,
pain in genital area worse this morning,305,Scrotal pain and/or swelling,Genitourinary,silver,
recheck post surgery pain in catheter area,865,Post-operative complications,General and Minor,silver,
"Authorized in from <LOCATION>, has a <PERSON> in place, after having a bowel movement started leaking around cather then noticed some blood in. denies pain/leaking or blood at present",865,Post-operative complications,General and Minor,silver,
Follow up for pain at catheter site,865,Post-operative complications,General and Minor,silver,
f/u PVR; no cardiac complaints- not taking any meds,866,Minor complaints NOS,General and Minor,silver,
continued vomiting all night for unknown reason. Pt,257,Nausea and/or vomiting,Gastrointestinal,silver,
Digestive 9: Other Cause of Vomiting sudden onset of vomiting with severe HA and neck pain and high fever,257,Nausea and/or vomiting,Gastrointestinal,silver,
"Authorized in from <LOCATION>, for <DATE_TIME> has fever, bodyaches, stiff neck, ha, stomach pains with vomiting. tylenol 975 was given at 1100. R/O meningitis",852,Fever,General and Minor,silver,
"BIB Guardian flight from inpatient setting in <LOCATION> for suspected endocarditis, pt calm cooperative ambulatory. hx of pulmonary valve replacement as a child.",866,Minor complaints NOS,General and Minor,silver,
FV: MSSA endocarditis,866,Minor complaints NOS,General and Minor,silver,
"Arrives with tissues in right nare, bleeding controlled. Bleeding started <DATE_TIME>. Also c/o left rib pain. No trauma. Lungs clear bilaterally. Has PICC line for heart valve replacent from <DATE_TIME>.",151,Epistaxis,ENT - Nose,silver,
FV: MSSA prosthetic pulmonary valve endocarditis,866,Minor complaints NOS,General and Minor,silver,
FV from <DATE_TIME> <PERSON>,999,Unknown,General and Minor,silver,
"<DATE_TIME> male here for head injury happened about 1130pm. <DATE_TIME>, calle dby by standers that this person fly with a snow machine and he flew a long way that what by standers say,",407,Head injury,Neurologic,silver,
Emergency 3: Severe Head Injury,407,Head injury,Neurologic,silver,
"Authorized in from <LOCATION> with guardian, related to snow machine accident, alcohol related. High speed with LOC, head injury with laceration. Complaints of left sided head and righ upper back pain. ambulated into er",407,Head injury,Neurologic,silver,
Pt is here for follow up from <DATE_TIME> evaluation per grandmother's request. Denies any pain or worsening symptoms. Last took apap 650mg at <DATE_TIME>.,866,Minor complaints NOS,General and Minor,silver,
right foot cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
911 call 23 yo male thinks foot is getting infected again,709,Localized swelling/redness,Skin,silver,
Recheck Cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"Osteopenia. Right foot edema and erythema,",709,Localized swelling/redness,Skin,silver,
"<DATE_TIME> male who had a Right foot injury on about <DATE_TIME>, puntcure wound which got infected <DATE_TIME>, feels like he is recovering pretty good, at first it felt weak and shaky but now more normal, just got back from <LOCATION> <DATE_TIME>",557,Lower extremity injury,Orthopedic,silver,
Follow up Osteopenia Right Foor STI Screen orders placed for a future appt High Risk Health Condition (Traumatic Brain Injury),866,Minor complaints NOS,General and Minor,silver,
"Patient would like a STI screening and Blood screening of STI's. Is not having an symptoms, would just like it done to be on the safe side.",866,Minor complaints NOS,General and Minor,silver,
STI screening,866,Minor complaints NOS,General and Minor,silver,
PN F/U 34 <DATE_TIME>,999,Unknown,General and Minor,silver,
Fetal monitoring,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Post partum BP check,6,Hypertension,Cardiovascular,silver,
<DATE_TIME> postpartum,866,Minor complaints NOS,General and Minor,silver,
23 YO Female CC: Depo Refill,861,Prescription/medication request,General and Minor,silver,
Repeat Depo Shot,861,Prescription/medication request,General and Minor,silver,
<DATE_TIME> female CC red streak on right arm from surgery under arm pit just notice it <DATE_TIME>,709,Localized swelling/redness,Skin,silver,
red streap,709,Localized swelling/redness,Skin,silver,
"arm infection, possible sepsis",999,Unknown,General and Minor,rule,SEPSIS_UNKNOWN
"23 yo female CC: Follow up after hospital visit: Cellulitis of R arm, <PERSON>, <PERSON> hyperthyroidisim",709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"Follow care for Cellulitis of R arm, Thrombophlebitis, Subclinical Hyperthroidism",709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
23 YO FEMALE CC: Follow up after regional/hospital visit for R arm cellulitis/red streak thrombophelebitis and <PERSON> hyperthyroidism x <DATE_TIME>,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"Follow After Regional/ Hospital visit Cellulitis of R arm, Thrombophelebitis, Subclinic Hyperthyroidism Getting better",709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
was in a ATV accident <DATE_TIME> and woke up cant move his neck and hurts to take a deep breath on R side of ribs,552,Traumatic back/spine injury,Orthopedic,silver,
"ATV Accident Injuries R side Neck, Ribs, Hip, Knee",802,Major trauma—blunt,Trauma,silver,
"pt had an ATV accident @ <DATE_TIME>, c/o rt trap pain and rt rib pain , c collar in place on arrival",802,Major trauma—blunt,Trauma,silver,
<DATE_TIME> make recheck after ATV accident- now with SOB from back pain needs work release filled,710,Wound check,Skin,silver,
"recheck after ATV accident, back pain with SOB muscle strain needs work release filled",710,Wound check,Skin,silver,
other cause of abdominal pain phone visit ended 1526,251,Abdominal pain,Gastrointestinal,silver,
"65yo M ccAbdominal pain for <DATE_TIME>, pale and weak phone visit due to <NRP> restrictions, pt on quarantine due to direct contact with COVID positive",851,Exposure to communicable disease,General and Minor,rule,COVID_EXPOSURE
"<PERSON> pain, after having costipation",253,Constipation,Gastrointestinal,silver,
30 yof here for abdominal pain <DATE_TIME> pregnant EDD <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
abdominal pain in pregnant woman <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Rt lower abd pain with sudden onset <DATE_TIME>. <DATE_TIME> pregnant,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"<DATE_TIME> female havimg stiff neck started on <DATE_TIME>, started having syptoms on <DATE_TIME>. went to work on <DATE_TIME>. no lost of smell or loss of taste or sore thorat. looks sick, needs help out of chair and to climb on bed. hx of heart problems.",104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
possible COVID-19 Illness with symtoms: high risk patient,154,URTI complaints,ENT - Nose,silver,
"BIB Guardian from <LOCATION> for right lower abdominal pain. <DATE_TIME> head and neck pain, feeling ill. Hx CHF. <LOCATION> CT is down so here for abd pain w/u. BP low in <LOCATION>, arrives on levophed gtt @ 4. 200mcg fentanyl en route. Rocephin, flagyl, vanc PTA.",999,Unknown,General and Minor,rule,CHF_UNKNOWN
Barnes: Post Robot Ventreal Hernia Repair <DATE_TIME>,865,Post-operative complications,General and Minor,silver,
"no dehydration, other cause of vomiting",7,General weakness,Cardiovascular,rule,DEHYDRATION
39 yof here for throwing up blood,259,Vomiting blood,Gastrointestinal,silver,
"Guardian Flight from <LOCATION>. N/V/D hematemesis since <DATE_TIME>. Umbilical hernia repair <DATE_TIME>, at Pt AOx4. RA. RRR. Violent emesis shortly after arrival, dark red blood/ c/o LLQ pain.",259,Vomiting blood,Gastrointestinal,silver,
<DATE_TIME> female here for a pregnancy test,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"Positive Pregnancy <DATE_TIME>, <DATE_TIME>)",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"!<PERSON>, LMP <DATE_TIME>, <DATE_TIME>, <DATE_TIME> pregnant, EDC <DATE_TIME>",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"She was using a clean steak knife to cut open a plastic dr pepper bottle, she slipped and the knife punctured in between her left thumb and pointer finger",704,Laceration/puncture,Skin,silver,
spotting in pregnancy,455,Vaginal bleed,OB/GYN,silver,
29 yo female <DATE_TIME> pregnant bleeding,455,Vaginal bleed,OB/GYN,silver,
"Bleeding from vagina, in <DATE_TIME> of Pregnancy, <DATE_TIME> pregnant, <PERSON> has Pain",455,Vaginal bleed,OB/GYN,silver,
F/U ER 6 <DATE_TIME>,855,Direct referral for consultation,General and Minor,silver,
possible spontaneous abortion,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
s/p Sigmoidectomy with creation of end of colosty,865,Post-operative complications,General and Minor,rule,POST_OP
Wound Vac change,856,Dressing change,General and Minor,silver,
"BIB husband d/t wound vac not working properly since dressing change <DATE_TIME>. <PERSON> on wound vac. States there's a gap in the new dressing, Has followup with <DATE_TIME>.",860,Medical device problem,General and Minor,silver,
"911 call from a family member worried about her. She said she don't know why her family called 911 for her. She denies wanting or trying to hurt herself, no suicidall thoughts. Doesn't want to be seen and wants to go home. VPSO is here and agree's to brin",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Intoxication refused to be seen,751,Substance misuse/intoxication,Substance Misuse,silver,
pt from <LOCATION>. <PERSON> stated she wass drinking <DATE_TIME> and made a statemet to her family she wanted to hang herself. she states now and doesnt want to harm herself or others at this time.,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
Suicidal threat,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Strep Pharyngitis,154,URTI complaints,ENT - Nose,silver,
<LOCATION> x <DATE_TIME>,999,Unknown,General and Minor,silver,
On-call phone call: 54 y.o. Female intnetional overdose on gabapentin and phenobarbitol at ~ <DATE_TIME>.,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Other medical emergency: Intentional Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"OD, medevac in. Took between 30 gabapentin and 2 grams Phenobarbital. AAOx3, Denies SI/HI VSS, Labs drawn",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
recheck for Renal injury,859,Imaging tests,General and Minor,silver,
<DATE_TIME> female here for recheck on medication that she was switched to,861,Prescription/medication request,General and Minor,silver,
Follow up after hosipital and change of medication,865,Post-operative complications,General and Minor,silver,
Med refill,861,Prescription/medication request,General and Minor,silver,
"<PERSON>, Nausea + Vomiting",257,Nausea and/or vomiting,Gastrointestinal,silver,
ETOH; possible drug overdose Keppra.,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"NP eval for history of seizures, lost to neurology follow up",405,Seizure,Neurologic,silver,
pt fell and hit head while trying to get out of a boat. LOC for <DATE_TIME>. friends performed cpr for <DATE_TIME>.,407,Head injury,Neurologic,silver,
Mild SOB - in COVID Positive Patient,651,Shortness of breath,Respiratory,rule,COVID_RESPIRATORY
feeling SOB when cough or takes deep breath,651,Shortness of breath,Respiratory,silver,
BIB Guardian flight. Patient ambulating with steady gait without oxygen to negative pressure room upon arrival. C/o SOB and <PERSON> positive status.,651,Shortness of breath,Respiratory,silver,
feeling very shsort of breath,651,Shortness of breath,Respiratory,silver,
"Cold and lethargic, BIB EMS, from home. CBG 240. Pupils small, denies ETOH denies taking medicatoin. <PERSON>'s hands and arms cold to touch, pt body warm. Denies NVD Denies injury",205,Hypothermia,Environmental,silver,
transfer for GI bleed . rec'd total of 3 units of PRBC over <DATE_TIME>,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
"NP, pelvic mass",256,Groin pain/mass,Gastrointestinal,silver,
"H&P, pelvic mass",256,Groin pain/mass,Gastrointestinal,silver,
discuss surgery,855,Direct referral for consultation,General and Minor,silver,
"PHONE, post op",865,Post-operative complications,General and Minor,rule,POST_OP
Contractions,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Pregnancy contractions,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"Immunization, TDAP with each pregnancy",861,Prescription/medication request,General and Minor,silver,
"33 <PERSON> Pregnant Female CC: Here <DATE_TIME> for bleeding from vagina, <DATE_TIME> and <DATE_TIME> gestation",458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Bleeding from Vagina in <DATE_TIME> of Pregnancy Patient is <DATE_TIME> and <DATE_TIME> gestation,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Vaginal bleeding in pregnancy < <DATE_TIME> started <DATE_TIME> with some cramping,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
F/U Emergency room,866,Minor complaints NOS,General and Minor,silver,
"<DATE_TIME> pregnanet and vaginal bleeding, states flown in from <PERSON> on <DATE_TIME> and told pregnancy was still viable, bleeding <DATE_TIME> with large clots. Stated cramping after clot emerged 30 min PTA.",455,Vaginal bleed,OB/GYN,silver,
D&C follow up,865,Post-operative complications,General and Minor,silver,
"Level 1 trauma, see trauma flowsheet",802,Major trauma—blunt,Trauma,silver,
f/u L knee,866,Minor complaints NOS,General and Minor,silver,
