text,cedis_code,cedis_complaint,domain,source,rule_applied
ACS,3,Chest pain—cardiac features,Cardiovascular,rule,ACS
chect pain,3,Chest pain—cardiac features,Cardiovascular,silver,
hepatocellular failure,863,Abnormal lab values,General and Minor,silver,
syncope w ABD,8,Syncope/pre-syncope,Cardiovascular,silver,
R fibula and R tibia fracture,557,Lower extremity injury,Orthopedic,silver,
"Syncope, chest pain",3,Chest pain—cardiac features,Cardiovascular,silver,
Meningitis,401,Altered level of consciousness,Neurologic,silver,
tesricular,305,Scrotal pain and/or swelling,Genitourinary,silver,
Bilar otorrhea,55,"Discharge, ear",ENT - Ears,silver,
Syncoper / Lower GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
Non (ACS),3,Chest pain—cardiac features,Cardiovascular,rule,ACS
Acute Appendicitis /,251,Abdominal pain,Gastrointestinal,silver,
abscess cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"fever, vomiting",852,Fever,General and Minor,silver,
Choledocholithiasis with CBD Obstracting,251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
L knee,555,Lower extremity pain,Orthopedic,silver,
hand infection,709,Localized swelling/redness,Skin,silver,
assault + intoxication,751,Substance misuse/intoxication,Substance Misuse,silver,
R Side weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
<DATE_TIME> premarture labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
<PERSON> overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
ATV Trauma,802,Major trauma—blunt,Trauma,silver,
"Head injury, intoxication, altered mental status",401,Altered level of consciousness,Neurologic,silver,
prolonged rupture of labor at term,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
"AMS, labile BP",401,Altered level of consciousness,Neurologic,silver,
abdominal pain,251,Abdominal pain,Gastrointestinal,silver,
"Pneumonia, confusion",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"AMS, visual change",401,Altered level of consciousness,Neurologic,silver,
Suspected Spinal Cord Injury,552,Traumatic back/spine injury,Orthopedic,silver,
intractable ABD,251,Abdominal pain,Gastrointestinal,silver,
left eye injury,510,Eye trauma,Ophthalmology,silver,
intructible n?V,257,Nausea and/or vomiting,Gastrointestinal,silver,
unstable spinal fructure,552,Traumatic back/spine injury,Orthopedic,silver,
Pneumonia respiratory distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"Eye injury trauma, alcohol intoxication",510,Eye trauma,Ophthalmology,silver,
Resp failure,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Status epilepticus,405,Seizure,Neurologic,silver,
L Shoulder injury,556,Upper extremity injury,Orthopedic,silver,
SI/ Lisinopril Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
27 <DATE_TIME> pregnant patient with contractions,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
Pregnant bleeding,455,Vaginal bleed,OB/GYN,silver,
ABD Pain Distention,263,Abdominal mass/distention,Gastrointestinal,silver,
"seizures, focal, presistent",405,Seizure,Neurologic,silver,
Unstable angina,3,Chest pain—cardiac features,Cardiovascular,silver,
GSW to head,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
preterm contractions,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
"pneumonia, rsp distress",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
edema,9,"Edema, generalized",Cardiovascular,silver,
"Seizure, AMS, febrile",405,Seizure,Neurologic,silver,
hematuria,302,Hematuria,Genitourinary,silver,
fell down stairs,802,Major trauma—blunt,Trauma,silver,
ABD pain/pregnancy,251,Abdominal pain,Gastrointestinal,silver,
Molar pregnany,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Weakness/vertigo,402,Confusion,Neurologic,silver,
sick child,866,Minor complaints NOS,General and Minor,silver,
difficulty breathing,651,Shortness of breath,Respiratory,silver,
"Pregnancy <DATE_TIME> HTN, N-V",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"Anemia, GIB",260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
L thigh hemotoma,557,Lower extremity injury,Orthopedic,silver,
acute encephalophaty,402,Confusion,Neurologic,silver,
Arterial Epistaxis,151,Epistaxis,ENT - Nose,silver,
Head Trauma,407,Head injury,Neurologic,silver,
CP,3,Chest pain—cardiac features,Cardiovascular,silver,
B blocker,751,Substance misuse/intoxication,Substance Misuse,silver,
Severe rash with infection failing OPD care,708,Rash,Skin,silver,
ETOH / SI hanging attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
preterm labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
hemorrahgic cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"ATV accident, Left hip deformity",802,Major trauma—blunt,Trauma,silver,
"Abdominal pain, SMV thrombosis",251,Abdominal pain,Gastrointestinal,silver,
Vomiting,257,Nausea and/or vomiting,Gastrointestinal,silver,
Acute HF,3,Chest pain—cardiac features,Cardiovascular,silver,
symptomatic anemia,864,Pallor/anemia,General and Minor,silver,
UTI with bacteria,307,UTI complaints,Genitourinary,silver,
Alered LOC/ Hypoglycemia,854,Hypoglycemia,General and Minor,silver,
intestinal obstructiojn,263,Abdominal mass/distention,Gastrointestinal,silver,
premature,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
"SOB,",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Fever infant,852,Fever,General and Minor,silver,
facial fracture,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
Lip laceration,704,Laceration/puncture,Skin,silver,
"L eye blindness, snowmobile trauma",510,Eye trauma,Ophthalmology,silver,
Early Apply/ ABD,251,Abdominal pain,Gastrointestinal,silver,
oxygen,651,Shortness of breath,Respiratory,silver,
Bleeding in trimester,455,Vaginal bleed,OB/GYN,silver,
"MVX, HI, Suicidal, ETOH",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
A-fib,5,Palpitations/irregular heart beat,Cardiovascular,silver,
laceration,704,Laceration/puncture,Skin,silver,
SAB,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
apparent stroke in evolution,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
MVA / Left Hip Pain,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
PROM 36 wk IUP,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
Upper GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
"rectal bleeding, anemia",260,Blood in stool/melena,Gastrointestinal,silver,
synocopal episode,8,Syncope/pre-syncope,Cardiovascular,silver,
back Pain,551,Back pain,Orthopedic,silver,
aortic dissection,3,Chest pain—cardiac features,Cardiovascular,silver,
tibia fracture,557,Lower extremity injury,Orthopedic,silver,
tachypnea,654,Hyperventilation,Respiratory,silver,
ETOH inentional overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
STEMU,3,Chest pain—cardiac features,Cardiovascular,silver,
Respiratory distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
COVID + SOB,653,Cough/congestion,Respiratory,rule,COVID
SI/ attempt w/ 13 stab of oxy,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
Rib Pain,554,Upper extremity pain,Orthopedic,silver,
ruptured penis,310,Genital trauma,Genitourinary,silver,
MVA: <LOCATION> and Neck Pain,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
upper abd pain,251,Abdominal pain,Gastrointestinal,silver,
Syncope anemia,8,Syncope/pre-syncope,Cardiovascular,silver,
Bleeding in pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
recurrent + SVT,5,Palpitations/irregular heart beat,Cardiovascular,silver,
Testicular rupture,305,Scrotal pain and/or swelling,Genitourinary,silver,
Accident,802,Major trauma—blunt,Trauma,silver,
throat swelling,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
Seizure,405,Seizure,Neurologic,silver,
DV Assault,802,Major trauma—blunt,Trauma,silver,
Suicide attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Cough,653,Cough/congestion,Respiratory,silver,
wound abd,804,Isolated chest trauma—blunt,Trauma,silver,
COPD excerpation,651,Shortness of breath,Respiratory,silver,
DOE/SOB + FEVER,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Failure to thrive,866,Minor complaints NOS,General and Minor,silver,
R side weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"labs, eval",863,Abnormal lab values,General and Minor,silver,
"urine retention, osteomyelitis",306,Urinary retention,Genitourinary,silver,
Numbness,410,Sensory loss/paresthesia,Neurologic,silver,
Abnormal EKG,863,Abnormal lab values,General and Minor,silver,
PNA? urinary retention,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
COPD exacerbation,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
heart failure,7,General weakness,Cardiovascular,silver,
L hip fx,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
AC Cholecystitis,251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
Intussuception,866,Minor complaints NOS,General and Minor,silver,
withdrawal CIWA24,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
eyelid laceration,704,Laceration/puncture,Skin,silver,
tylenol potential overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Respiratory Distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Foreign body in airway,656,Respiratory foreign body,Respiratory,silver,
crush injury LLE <DATE_TIME>,557,Lower extremity injury,Orthopedic,silver,
traumatic finger amputation,553,Amputation,Orthopedic,silver,
LE Cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
Tylenol OD w/ SI,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
status epilepticus,405,Seizure,Neurologic,silver,
Severe abd pain/vomiting,251,Abdominal pain,Gastrointestinal,silver,
"anemia, loss of unconsousness",864,Pallor/anemia,General and Minor,silver,
O/D excedrin,752,Overdose ingestion,Substance Misuse,silver,
septic arthritis,558,Joint(s) swelling,Orthopedic,rule,SEPTIC_ARTHRITIS
possible PNA,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
coughing w Blood,655,Hemoptysis,Respiratory,silver,
"Acute abdomen, fever, peritonitis? Appendicitis?",251,Abdominal pain,Gastrointestinal,silver,
"Pre-term Contraction, bleeding",458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Blood Diarhea,260,Blood in stool/melena,Gastrointestinal,silver,
Aortic dissection,3,Chest pain—cardiac features,Cardiovascular,silver,
"SI, intentional overdose",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Frebile Seizure,405,Seizure,Neurologic,silver,
Si / Head wound,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
altered mental status,401,Altered level of consciousness,Neurologic,silver,
ADB PAIN,251,Abdominal pain,Gastrointestinal,silver,
Cp,3,Chest pain—cardiac features,Cardiovascular,silver,
Vaginal Bleeding,455,Vaginal bleed,OB/GYN,silver,
SOB + CP,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
choletithiases,251,Abdominal pain,Gastrointestinal,silver,
Title 47 - SI,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
sever anemia,864,Pallor/anemia,General and Minor,silver,
"Ischemic stroke, hypertensive emergency",409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
"Cough, hypoxia, SIRS+",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Right lower leg fracture,557,Lower extremity injury,Orthopedic,silver,
subdural hematoma,407,Head injury,Neurologic,silver,
Ground level syncopal fall,8,Syncope/pre-syncope,Cardiovascular,silver,
stab wound to chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
epistaxis,151,Epistaxis,ENT - Nose,silver,
pacemaker problem,860,Medical device problem,General and Minor,silver,
L side weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
Blurred vision L eye pain,505,Eye pain,Ophthalmology,silver,
"Fall, AMS",401,Altered level of consciousness,Neurologic,silver,
SI withdrawal,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
Head trauma and vomiting x3,407,Head injury,Neurologic,silver,
Acute,866,Minor complaints NOS,General and Minor,silver,
Bowel Obstruction,251,Abdominal pain,Gastrointestinal,rule,BOWEL_OBSTRUCTION
Acute appendicitis,251,Abdominal pain,Gastrointestinal,silver,
L hemiplegia,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
thiracic spinal fxs,551,Back pain,Orthopedic,silver,
Blunt Trauma / ABD,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
appendicitis,251,Abdominal pain,Gastrointestinal,silver,
A Flutter RVR,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
burns,705,Burn,Skin,silver,
SROM,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"Unresponsive, drug overdose",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Possible CVA,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Acute Psychosis,353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
vomitinh,257,Nausea and/or vomiting,Gastrointestinal,silver,
atv accident,802,Major trauma—blunt,Trauma,silver,
SI/hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
Internal Hernia,251,Abdominal pain,Gastrointestinal,silver,
hypertension,6,Hypertension,Cardiovascular,silver,
vision loss / eye pain,504,Visual disturbance,Ophthalmology,silver,
Right Knee Swelling pain,558,Joint(s) swelling,Orthopedic,silver,
"Fall, back pain",552,Traumatic back/spine injury,Orthopedic,silver,
Trauma- multisystem,802,Major trauma—blunt,Trauma,silver,
ABD Paind,251,Abdominal pain,Gastrointestinal,silver,
seizures - multiple,405,Seizure,Neurologic,silver,
SOB COVID +,653,Cough/congestion,Respiratory,rule,COVID
cardiopulmonary arrest,1,Cardiac arrest (non-traumatic),Cardiovascular,silver,
R Humerus Fracture,556,Upper extremity injury,Orthopedic,silver,
twin gestation,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Naproxen Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
resp distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
<PERSON> gangrene,709,Localized swelling/redness,Skin,rule,GANGRENE
"Thigh pain, c/f compartment syndrome",555,Lower extremity pain,Orthopedic,silver,
Abdominal/head trauma,802,Major trauma—blunt,Trauma,silver,
altered mental status/Rt sided weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
open frx,553,Amputation,Orthopedic,silver,
"SOB, SVT",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Alcohol WD,753,Substance withdrawal,Substance Misuse,silver,
Intentional OD with SI,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
PPROM - <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
encephalopathy,402,Confusion,Neurologic,silver,
SBO,251,Abdominal pain,Gastrointestinal,rule,BOWEL_OBSTRUCTION
RLQ pain concern for appendicitis,251,Abdominal pain,Gastrointestinal,silver,
Abdominal pain,251,Abdominal pain,Gastrointestinal,silver,
OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
R/O Septic Joint,558,Joint(s) swelling,Orthopedic,silver,
"syncope, bradycardia",8,Syncope/pre-syncope,Cardiovascular,silver,
Pain Right Thigh,555,Lower extremity pain,Orthopedic,silver,
Shoulder injury,556,Upper extremity injury,Orthopedic,silver,
"Suicidal gesture, medicatio insertion",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
R laceration w tendon laceration,704,Laceration/puncture,Skin,silver,
seizure w hypotension,405,Seizure,Neurologic,silver,
foreign body,717,"Foreign body, skin",Skin,silver,
Drug Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
PE,651,Shortness of breath,Respiratory,silver,
AS OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
presumed viral resp. infection,154,URTI complaints,ENT - Nose,silver,
laceration neck,704,Laceration/puncture,Skin,silver,
Accident MVA,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
OU infection,506,"Red eye, discharge",Ophthalmology,silver,
"colitis, acute colovesical fistula",251,Abdominal pain,Gastrointestinal,silver,
food impactio,106,Difficulty swallowing/dysphagia,ENT - Mouth/Throat/Neck,silver,
SVT,5,Palpitations/irregular heart beat,Cardiovascular,silver,
hip injury,557,Lower extremity injury,Orthopedic,silver,
intentional overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
APA overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
not mentating,402,Confusion,Neurologic,silver,
Ischemic stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
siezures,405,Seizure,Neurologic,silver,
COPD,651,Shortness of breath,Respiratory,silver,
Arm deformity,556,Upper extremity injury,Orthopedic,silver,
Spetil arthritis,866,Minor complaints NOS,General and Minor,silver,
femur fc,557,Lower extremity injury,Orthopedic,silver,
Worsening swelling,9,"Edema, generalized",Cardiovascular,silver,
L foot skin infection,709,Localized swelling/redness,Skin,silver,
Trauma from fall,407,Head injury,Neurologic,silver,
hypetension,6,Hypertension,Cardiovascular,silver,
"ABD, fever",251,Abdominal pain,Gastrointestinal,silver,
Cholestasis of Pregnancy,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
Attempted hanging/ Cervical Pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
C section wound,865,Post-operative complications,General and Minor,silver,
"<PERSON> pain, perf diverticulitis",251,Abdominal pain,Gastrointestinal,silver,
acute stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
head trauma and LOC,407,Head injury,Neurologic,silver,
altered mental status/hyponatremia,402,Confusion,Neurologic,silver,
Chest Pain / ACS,3,Chest pain—cardiac features,Cardiovascular,rule,ACS
Radial fracture with neuro compromise,556,Upper extremity injury,Orthopedic,silver,
found unresponsive,401,Altered level of consciousness,Neurologic,silver,
Hyperemisis /Pain,257,Nausea and/or vomiting,Gastrointestinal,silver,
"Trauma, head injury",407,Head injury,Neurologic,silver,
Metabolic Acidors,863,Abnormal lab values,General and Minor,silver,
Leg FX,557,Lower extremity injury,Orthopedic,silver,
<LOCATION> st depression on EKG,3,Chest pain—cardiac features,Cardiovascular,silver,
headache,404,Headache,Neurologic,silver,
weak,7,General weakness,Cardiovascular,silver,
Upper GI bleed,260,Blood in stool/melena,Gastrointestinal,silver,
pneumonia,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"Hematemesis, alcohol withdrawal",753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
Abdominal Pain & Bleeding in Pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
N/v concern for cholecystitis,251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
Probable hip fracture,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
facial laceRation,704,Laceration/puncture,Skin,silver,
peritonsillar abcess,103,Sore throat,ENT - Mouth/Throat/Neck,silver,
Seizures,405,Seizure,Neurologic,silver,
R Shoulder disclocation,556,Upper extremity injury,Orthopedic,silver,
probable stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
COVID POS SOB,653,Cough/congestion,Respiratory,rule,COVID
Acute cholecystitis,251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
ATV Accident Low back pain,551,Back pain,Orthopedic,silver,
HSV gingivostomatitis,866,Minor complaints NOS,General and Minor,silver,
dislocation,866,Minor complaints NOS,General and Minor,silver,
leg foot pain,555,Lower extremity pain,Orthopedic,silver,
Facial swelling/abscess,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"Alleged assault, L ankle fx",557,Lower extremity injury,Orthopedic,silver,
epidural hematoma,407,Head injury,Neurologic,silver,
Bleeding Esophaseal,259,Vomiting blood,Gastrointestinal,silver,
Severe range BP @ 29 <DATE_TIME> EOA,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
FB in esophagus,265,Oral/esophageal foreign body,Gastrointestinal,silver,
"Fall, lt hip pain",555,Lower extremity pain,Orthopedic,silver,
Epidural/Subdural/Skull Fx,407,Head injury,Neurologic,silver,
neck pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
ingestion,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
"Alcohol withdrawal, Nausea, Vomiting",753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
Altered L.O.C,401,Altered level of consciousness,Neurologic,silver,
<DATE_TIME> live birth,869,Newly Born,General and Minor,silver,
septic elbow,558,Joint(s) swelling,Orthopedic,silver,
foot infection,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
new onset seizure,405,Seizure,Neurologic,silver,
Decreased SPO2,651,Shortness of breath,Respiratory,silver,
Syncope Epigastric Pain,8,Syncope/pre-syncope,Cardiovascular,silver,
laceration to neck,704,Laceration/puncture,Skin,silver,
eye injury,510,Eye trauma,Ophthalmology,silver,
Pocket infection of Pacemaker,865,Post-operative complications,General and Minor,silver,
R Sided deficti/syncope,8,Syncope/pre-syncope,Cardiovascular,silver,
COPD exacerbation/pneumonia,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"seizure, fever",405,Seizure,Neurologic,silver,
heart failure / pulm edema,9,"Edema, generalized",Cardiovascular,silver,
facial swelling,709,Localized swelling/redness,Skin,silver,
Foreign body aspiration,656,Respiratory foreign body,Respiratory,silver,
hernia,256,Groin pain/mass,Gastrointestinal,silver,
Neck / Head pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
Abdominal/head trauma,806,Isolated abdominal trauma—blunt,Trauma,silver,
urinary ret,306,Urinary retention,Genitourinary,silver,
Faa hipPain,555,Lower extremity pain,Orthopedic,silver,
femur fracture,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
imaging,859,Imaging tests,General and Minor,silver,
Covidity,851,Exposure to communicable disease,General and Minor,silver,
MVC,802,Major trauma—blunt,Trauma,silver,
"Methamphetamine abuse, severe depression with SI",351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
Possible aspiration,656,Respiratory foreign body,Respiratory,silver,
RLQ pain pregnancy,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
acute hemorrhage,151,Epistaxis,ENT - Nose,silver,
Acute Appendicitis,251,Abdominal pain,Gastrointestinal,silver,
cervical spinal fracture,552,Traumatic back/spine injury,Orthopedic,silver,
"hallucinations, SI",353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
Seizures/ETOH Withdrawal,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
"Preg, pain bleeding",455,Vaginal bleed,OB/GYN,silver,
SOB/AFIB,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
Intraabdominal abscess,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
Head injury,407,Head injury,Neurologic,silver,
